ID,STRIDE Category,Threat Title,Affected Components,Asset,Attack Scenario Summary,Impact Confidentiality,Impact Integrity,Impact Availability,Likelihood,Severity,OWASP Mapping,Priority,Owner,Status
TM-001,Spoofing,JWT Token Theft via XSS,Web Client | CRM API,User session tokens,Attacker injects XSS to steal tokens from localStorage and impersonate victim,High,High,Low,Medium,HIGH,A03:2021 Injection,P0,Application Team,Open
TM-002,Spoofing,Credential Stuffing Attack on Login,Identity Provider | Web Client,User credentials,Attacker uses leaked credentials from other breaches to access accounts,High,Medium,Low,High,HIGH,A07:2021 Auth Failures,P0,Platform Team,Open
TM-003,Spoofing,Phishing Attack Targeting Tenant Admins,Identity Provider | Admin Users,Admin credentials,Attacker phishes admin credentials via fake login page,High,High,Medium,Medium,HIGH,A07:2021 Auth Failures,P1,Platform + Security,Open
TM-004,Spoofing,Session Fixation Attack,Web Client | CRM API,User sessions,Attacker tricks victim into using attacker-controlled session token,High,High,Low,Low,MEDIUM,A07:2021 Auth Failures,P2,Application Team,Open
TM-005,Spoofing,Refresh Token Replay Attack,Identity Provider | Web Client,Refresh tokens,Stolen refresh token used indefinitely to obtain new access tokens,High,High,Low,Medium,HIGH,A07:2021 Auth Failures,P1,Platform Team,Open
TM-006,Spoofing,Email Spoofing for Phishing,Email Provider | End Users,User trust,Attacker sends phishing emails appearing to come from platform,Medium,Low,Low,Medium,MEDIUM,N/A,P1,Platform + Security,Open
TM-007,Tampering,SQL Injection via Unsanitized Input,CRM API | PostgreSQL,Database integrity | Tenant data,Attacker injects SQL to bypass tenant filters and access all data,High,High,Medium,Low,HIGH,A03:2021 Injection,P0,Application Team,Open
TM-008,Tampering,Mass Assignment / Over-Posting Attack,CRM API,Database integrity | User privileges,Attacker adds unauthorized fields to requests to escalate privileges,High,High,Low,Medium,HIGH,A04:2021 Insecure Design,P0,Application Team,Open
TM-009,Tampering,File Upload Tampering (Malicious File),CRM API | Object Storage | Worker,System integrity | User devices,Attacker uploads malware disguised as PDF; users infected on download,Medium,High,Medium,Medium,HIGH,A04:2021 Insecure Design,P1,Application Team,Open
TM-010,Tampering,Queue Message Tampering,Message Queue | Worker Service,Background job integrity,Attacker modifies queue messages to execute wrong jobs or send to wrong recipients,Medium,High,Low,Low,MEDIUM,A08:2021 Integrity Failures,P2,Application + Platform,Open
TM-011,Tampering,HTML Injection in Generated Reports,Worker Service | Object Storage,Generated reports,Attacker injects HTML/JS into contact name; rendered in PDF without escaping,Low,Medium,Low,Medium,MEDIUM,A03:2021 Injection,P2,Application Team,Open
TM-012,Tampering,Data Tampering via Broken Access Control,CRM API,CRM records,Attacker modifies resources without authorization check (IDOR),Medium,High,Medium,High,HIGH,A01:2021 Broken Access,P0,Application Team,Open
TM-013,Repudiation,Missing Audit Logs for Admin Actions,Admin Portal | CRM API,Audit trail,Admin actions not logged; cannot investigate or prove malicious activity,Indirect,Indirect,Low,High,MEDIUM,A09:2021 Logging Failures,P0,Application + Security,Open
TM-014,Repudiation,Non-Repudiation Failure for Financial Transactions,Payment Provider | CRM API,Payment records,No proof of tenant authorization for subscription charges,Low-Med,Low,Low,Low-Med,MEDIUM,A09:2021 Logging Failures,P1,Application + Finance,Open
TM-015,Repudiation,Log Tampering or Deletion by Attacker,Logging System | CRM API,Audit logs | Forensic evidence,Attacker deletes logs to hide evidence of breach,Indirect,High,Low,Medium,HIGH,A09:2021 Logging Failures,P1,Platform + Security,Open
